trial_id,val_accuracy,best_epoch,test_accuracy,num_conv_layers,num_fc_layers,dropout_count,dropout_location,dropout_rate,learning_rate,epochs
1,0.7519999742507935,20,0.7436164617538452,4,1,1,conv,0.2,0.0001,40
14,0.6990000009536743,4,0.34835851192474365,3,2,1,dense,0.35,0.0005,20
6,0.6899999976158142,4,0.3074517846107483,2,2,1,conv,0.35,0.0005,30
22,0.6890000104904175,4,0.5674830675125122,4,1,1,dense,0.2,0.001,20
12,0.6859999895095825,4,0.38223034143447876,3,2,1,dense,0.35,0.001,30
4,0.6759999990463257,4,0.415320485830307,3,2,2,conv+dense,0.35,0.0005,20
3,0.6710000038146973,3,0.5184991955757141,4,1,1,conv,0.35,0.0005,40
8,0.6639999747276306,4,0.3530484735965729,3,2,1,conv,0.2,0.001,40
9,0.6629999876022339,4,0.3402813971042633,3,2,1,conv,0.35,0.0005,30
7,0.6589999794960022,4,0.4150599241256714,2,2,2,dense+dense,0.2,0.001,40
23,0.6589999794960022,4,0.5198019742965698,4,1,1,dense,0.2,0.0005,30
11,0.656000018119812,4,0.5091193318367004,2,2,1,dense,0.5,0.001,30
24,0.652999997138977,4,0.43877020478248596,2,1,1,conv,0.2,0.001,20
19,0.6439999938011169,4,0.5396039485931396,3,1,1,conv,0.35,0.0001,30
16,0.6370000243186951,4,0.43434080481529236,4,1,2,conv+dense,0.35,0.001,40
17,0.6290000081062317,4,0.26367899775505066,3,2,2,dense+dense,0.35,0.0001,40
10,0.628000020980835,4,0.32542991638183594,4,1,1,conv,0.5,0.0001,40
20,0.6269999742507935,4,0.4804585576057434,3,1,2,dense+dense,0.5,0.0001,30
13,0.6200000047683716,4,0.22146952152252197,4,1,2,conv+dense,0.35,0.0001,40
5,0.6169999837875366,4,0.5359562039375305,2,2,1,dense,0.2,0.0001,30
2,0.6079999804496765,4,0.22850443422794342,4,2,1,conv,0.2,0.0001,40
21,0.5879999995231628,4,0.33194372057914734,2,2,2,conv+dense,0.2,0.0001,30
15,0.5590000152587891,4,0.23501823842525482,3,2,2,conv+dense,0.5,0.0001,20
18,0.5440000295639038,3,0.23345492780208588,2,1,1,dense,0.35,0.0001,20
